"","V1","V2","V3","V4","V5","V6"
"1",4.8448,1.099435,3.833775,0.3492975,2.03293,0.0144503
"2",0.005787375,1.24482,1.249705,0.8279635,1.539475,6.49335
"3",0.4041435,0.00622786,1.419895,4.54762,1.593,2.911665
"4",0.168462,2.88576,0.7053055,1.7322,1.600955,3.49058
"5",0.0154435,0.8546895,1.038735,0.425811,4.37195,3.707315
"6",0.176469,2.45904,0.4758855,0.959526,4.686375,0.765854
"7",1.197505,2.948645,0.4921795,0.8627175,2.726425,0.833767
"8",2.197215,3.140875,1.198265,1.276055,1.1468,1.127345
"9",0.01140755,3.348085,1.16712,1.080565,0.3431635,5.209835
"10",0.4521455,0.00721706,4.01345,0.993571,3.03335,1.49964
"11",0.5963255,1.51849,2.337865,1.068865,1.909795,0.9825305
"12",0.7300535,0.657677,1.08324,5.448465,0.7216035,1.05825
"13",0.08133395,0.00585176,0.79401,4.992025,2.724655,1.007455
"14",1.012175,1.35028,3.994085,1.737095,2.3193,1.03216
"15",1.307365,0.07286595,0.2197865,6.033125,0.739322,1.819155
"16",0.278746,0.503266,1.038775,0.2676275,5.19102,2.96089
"17",3.21035,1.29346,2.867085,1.465515,1.29859,1.028245
"18",1.640095,0.5438365,1.36248,0.884774,3.766965,1.090655
"19",2.07859,3.46505,0.0170947,0.911962,0.00951405,7.645825
"20",0.6524215,0.06208175,0.0908255,4.512795,3.10688,0.892445
"21",1.3369,0.04017255,7.587165,0.7700865,0.3212445,1.568755
"22",1.34487,3.27713,0.3808545,0.915262,0.9092495,2.82263
"23",0.2654705,0.8330515,2.07634,0.7978335,1.212165,6.002685
"24",1.068705,0.961799,2.76549,4.886225,0.040186,1.51165
"25",0.006244625,3.23052,1.076185,1.671895,3.0002,2.153835
"26",6.365585,0.26578,0.09913715,1.140595,1.786325,0.9852395
"27",1.21961,0.350783,8.080075,0.8670065,0.6730675,0.9698905
"28",5.218325,0.0135054,4.000115,0.254894,1.157775,0.8166905
"29",1.306575,2.47163,0.0126699,1.62404,0.711882,3.54581
"30",3.71722,0.00878564,2.327505,0.50934,0.394191,2.34816
"31",1.34503,2.887825,0.1312465,0.960599,4.383725,0.8119545
"32",0.29336,0.2366315,0.3485815,6.73085,2.994455,1.02039
"33",0.24571,0.002961945,0.9856725,7.452405,1.173105,2.304975
"34",0.281429,4.32948,1.126175,1.449615,0.759939,2.23691
