"","V1","V2","V3"
"1",5.501025,5.666235,1.738975
"2",5.24108,4.80419,1.678005
"3",1.915855,8.125285,2.675915
"4",5.73582,3.93104,1.937525
"5",6.16835,3.53759,2.523875
"6",3.283265,2.45448,3.604995
"7",1.828085,9.487195,1.54282
"8",2.574865,8.70029,1.520935
"9",3.685965,6.96726,1.572565
"10",4.44104,7.48586,3.35382
"11",3.65535,4.86064,2.659045
"12",2.25872,6.14512,2.46793
"13",0.8960375,12.837,2.45024
"14",3.091345,6.75509,1.533855
"15",4.21996,3.59087,2.625745
"16",3.669315,7.91412,1.381795
"17",2.63875,4.19232,4.490425
"18",2.78398,6.56666,2.071815
"19",7.026955,2.918995,1.475135
"20",4.406055,3.85679,4.392295
"21",9.492795,2.479555,1.18543
"22",7.728325,1.723355,1.340815
"23",7.98026,4.08519,1.73278
"24",5.61452,2.7207,2.207185
"25",5.986495,3.63931,1.754275
"26",5.537805,4.323695,2.095725
"27",7.58733,1.639325,1.17057
"28",4.015455,2.506675,5.435195
"29",5.241755,1.8311,3.934795
"30",1.72177,2.17126,9.76691
"31",1.86888,1.430965,9.69179
"32",3.11744,1.87809,7.16308
"33",2.92326,2.673045,6.9852
"34",1.136645,3.13119,6.42993
"35",1.26789,2.507225,9.120135
"36",4.256685,1.76138,5.03258
"37",4.126085,2.970595,6.050555
"38",2.54031,1.294405,9.641225
