"","V1","V2","V3"
"1",4.21436,3.3865,1.909315
"2",3.446895,3.41165,1.98959
"3",0.4016295,8.34312,2.41445
"4",1.05709,1.482215,8.071255
"5",0.8909355,5.839835,2.888715
"6",8.497035,1.374845,1.598925
"7",3.08884,4.25265,3.250775
"8",1.612575,3.956355,4.171435
"9",1.19538,1.463775,6.31433
"10",1.25479,5.31892,3.765115
"11",2.42153,3.597085,3.962335
"12",5.36655,0.894601,2.44278
"13",2.269095,3.27432,6.61319
"14",1.892785,0.05877195,11.079
"15",1.14771,2.151555,6.57182
"16",0.597439,7.724905,3.246745
"17",1.196285,4.32894,3.4996
"18",0.56523,6.677265,1.69978
"19",8.55028,1.293115,0.8942665
"20",6.10565,2.327815,1.50524
"21",8.897845,1.546755,1.005705
"22",2.01529,1.169205,7.280635
"23",5.96378,2.08537,2.50529
"24",1.295435,5.4412,2.47549
"25",1.837675,1.225715,6.421785
"26",3.82393,1.60472,4.02244
"27",0.5860155,6.90335,1.727305
"28",2.318215,2.119875,4.595275
"29",3.081915,2.354705,2.56008
"30",1.034005,1.898625,7.55365
"31",1.409445,3.39365,5.691795
"32",1.25287,0.5048725,8.61787
"33",4.674085,2.6479,2.44389
"34",1.336905,3.447555,5.119885
