"","V1","V2","V3","V4","V5","V6"
"1",2.43371,4.520365,0.113806,0.6837765,1.187225,2.13331
"2",2.323315,4.07494,0.009375655,0.7446315,0.7981225,2.452485
"3",0.55952,5.689065,0.161802,2.01818,2.05727,0.6400845
"4",3.18832,3.34616,0.03219245,0.7203575,0.34294,2.590335
"5",4.853825,3.02567,0.933654,0.002510665,0.1582605,1.496695
"6",0.6238135,1.668215,1.35228,1.474715,1.06659,2.198075
"7",0.3851175,7.221235,0.3962615,0.87745,1.67149,0.553973
"8",0.03318915,6.584635,0.1033365,1.167315,2.23541,1.220195
"9",1.805755,5.208695,0.2809295,0.4903295,1.7388,0.974624
"10",4.77806,4.31673,0.001041165,1.812995,1.954545,0.00137389
"11",0.914274,3.239935,0.7501875,1.104525,1.42971,2.12432
"12",1.39028,4.874905,1.5899,0.0661802,0.9938955,0.6093175
"13",0.6474815,9.586865,1.89854,0.01999645,1.913045,0.00166241
"14",0.0890728,4.41292,1.44362,0.002256975,2.17086,1.47268
"15",1.823705,2.73227,1.620385,0.00342407,0.4223925,2.39708
"16",2.08082,5.94031,0.001947325,0.894761,1.52849,0.6684
"17",1.340035,3.02193,3.035145,0.303739,1.120415,1.17617
"18",1.14567,5.206775,0.9023575,0.581922,1.08949,1.15574
"19",3.59706,2.55139,0.26865,0.006181895,0.199169,2.866615
"20",1.823245,1.19922,1.259125,2.26408,4.56888,0.0621811
"21",4.09997,0.2223795,0.004337745,0.307551,5.81173,1.14455
"22",2.19405,0.02533885,0.01119985,0.647846,4.852065,1.871005
"23",2.40197,0.4464775,0.005779885,1.10737,7.60683,0.5492785
"24",1.870315,0.4615505,0.769231,0.818787,5.05556,0.721941
"25",2.12278,0.4459615,0.88369,0.293011,6.04929,0.308397
"26",2.760915,1.55727,0.004154265,1.457195,4.824955,0.2410755
"27",2.35359,0.04950605,0.4306445,0.01128745,4.31156,2.14167
"28",3.5175,1.47214,0.425991,3.21768,0.724734,0.8336445
"29",3.9805,1.30413,0.7845555,1.24386,0.5158785,1.37603
"30",1.309425,0.6019725,1.59905,6.76899,0.632884,1.080195
"31",1.88141,0.182898,4.671515,3.342785,0.567265,0.6231925
"32",3.983155,0.5924535,4.399185,0.2735795,1.18623,0.005295265
"33",2.882395,1.468855,3.0312,2.064575,1.180505,0.3986355
"34",0.947317,1.291235,2.95738,2.444765,1.417735,0.113969
"35",1.240235,0.9671575,1.22964,6.663575,0.746067,0.5813965
"36",2.108255,0.874617,0.233142,3.55646,1.110875,2.011795
"37",3.136185,1.730435,0.947089,3.218775,1.197595,1.101255
"38",4.540525,0.3796555,4.15287,2.786055,0.01206705,0.1049395
