"","V1","V2","V3"
"1",1.184745,0.4987015,0.4404055
"2",1.065605,0.5226665,0.4927755
"3",1.22017,0.346689,0.42065
"4",1.163925,0.467031,0.413899
"5",1.14732,0.294595,0.462044
"6",1.07178,0.5033885,0.327146
"7",1.1086,0.4016395,0.39516
"8",1.14241,0.3177975,0.390191
"9",1.102815,0.340162,0.4699295
"10",1.145,0.562657,0.413405
"11",1.221685,0.546347,0.4147755
"12",1.008195,0.4420375,0.4324635
"13",0.9078835,0.3734375,0.4700135
"14",0.804948,0.414145,0.4522945
"15",0.9087255,0.4912255,0.5125685
"16",0.933493,0.271092,0.3855205
"17",1.03609,0.3809795,0.4625835
"18",1.333725,0.4418735,0.4627795
"19",0.8850805,0.4107895,0.4541095
"20",1.229835,0.5274725,0.2483295
"21",0.921646,0.4691205,0.3593855
"22",0.8681865,0.4292065,0.4687195
"23",1.028945,0.542394,0.53495
"24",1.018215,0.44898,0.616549
"25",0.85009,0.4827555,0.4689195
"26",1.134285,0.281045,0.459011
"27",1.024915,0.5571815,0.4179625
"28",0.915625,0.482847,0.264772
"29",1.035305,0.461787,0.364979
"30",0.8305715,0.3256705,0.482876
"31",0.3775005,0.383762,0.78888
"32",0.486804,0.578227,0.820322
"33",0.4826975,0.292602,1.07987
"34",0.3569205,0.4838635,1.104485
"35",0.4328085,0.6163035,1.070265
"36",0.4722695,0.3503895,1.348155
"37",0.3176615,0.3328495,0.975038
"38",0.3188865,0.5413395,1.04323
"39",0.4304405,0.388493,1.237535
"40",0.382928,0.489402,0.890417
"41",0.4538045,0.426023,1.195045
"42",0.253932,0.464143,0.898174
"43",0.3191575,0.497638,0.829666
"44",0.444357,0.569412,1.134
"45",0.429978,0.4534345,1.18813
"46",0.41162,0.469446,1.096465
"47",0.419312,0.342075,1.166815
"48",0.4473265,0.3211505,0.818733
"49",0.5344345,0.331447,0.825223
"50",0.426631,0.3380635,0.9777295
"51",0.5387025,0.495315,0.8278915
"52",0.618957,0.338535,0.998138
"53",0.4418145,0.2573175,1.2628
"54",0.2495755,0.357613,1.115975
"55",0.436513,0.396396,1.26775
"56",0.468489,0.559761,1.138095
"57",0.6608775,0.317834,0.990353
"58",0.332608,0.5040395,1.167415
"59",0.330186,0.388941,1.108465
"60",0.3461635,0.534061,0.929303
"61",0.345873,1.145385,0.3689795
"62",0.501278,1.257465,0.414421
"63",0.4420635,0.9568135,0.361682
"64",0.2941325,0.9322575,0.4753785
"65",0.343802,0.993333,0.4031855
"66",0.3943775,0.8410305,0.5358855
"67",0.566133,1.060825,0.4788285
"68",0.4005095,1.08412,0.53503
"69",0.542766,0.9331395,0.3041445
"70",0.4051555,0.93663,0.3930045
"71",0.3075235,1.1001,0.4484535
"72",0.411689,1.05868,0.3735455
"73",0.346147,1.105345,0.3471745
"74",0.423801,1.140415,0.388434
"75",0.3204005,0.85868,0.5126015
"76",0.3265625,1.145545,0.4684825
"77",0.384529,1.1257,0.648802
"78",0.4059205,0.8392045,0.4878175
"79",0.393223,1.11338,0.2817525
"80",0.484241,1.03919,0.3843335
"81",0.512596,1.0793,0.483468
"82",0.6542435,0.943658,0.4950665
"83",0.3852705,1.19891,0.5772445
"84",0.399534,0.8785885,0.358183
"85",0.5139645,0.7986375,0.4881915
"86",0.473048,1.188835,0.446354
"87",0.4209565,0.8475145,0.2541595
"88",0.6272875,1.009,0.3527325
"89",0.2639995,1.31861,0.66054
"90",0.367604,1.090545,0.423941
